Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f15d2	36.8400615212	0.0	0.0
water-control_f11h1	32.6516492779	0.0	0.0
1np_f14b4	35.9114024819	0.0	0.0
1np_f12e3	33.0857699289	0.0	0.0
1np_f13b1	35.2626646376	0.0	0.0
1np_f7b5	36.5315106709	0.0	0.0
1np_f14b2	37.4039696463	0.0	0.0
1np_f9c5	31.683833722	0.0	0.0
1np_f17g4	35.4774271711	0.0	0.0
1np_f16b4	36.8914438279	0.0	0.0
1np_f18f4	36.4330685662	0.0	0.0
1np_f8c2	32.9653934533	0.0	0.0
1np_f9g3	31.8727735634	0.0	0.0
1np_f17c2	36.4793350522	0.0	0.0
1np_f5g2	36.5184902125	0.0	0.0
1np_f7d4	37.6308231824	0.0	0.0
1np_f15a3	28.017424211	0.0	0.0
1np_f14a4	37.5154599291	0.0	0.0
1np_f13g4	36.6792481717	0.0	0.0
1np_f8a4	32.8342185772	0.0	0.0
1np_f18c4	36.7115561153	0.0	0.0
1np_f11a6	33.0857124012	0.0	0.0
1np_f11c4	32.7887107688	0.0	0.0
